cohort,age_band,bin,rank,feature,drug_name,gene,combined_importance,edge_weight,source
ed,65-74,all,1,item_drug_CARVEDILOL,CARVEDILOL,ADRA2C,0.3941002857391777,0.3941002857391777,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,1,item_drug_CARVEDILOL,CARVEDILOL,ADRB1,0.3941002857391777,0.3941002857391777,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,1,item_drug_CARVEDILOL,CARVEDILOL,ADRB2,0.3941002857391777,0.3941002857391777,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,1,item_drug_CARVEDILOL,CARVEDILOL,CYP2D6,0.3941002857391777,0.3941002857391777,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,1,item_drug_CARVEDILOL,CARVEDILOL,GRK4,0.3941002857391777,0.3941002857391777,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,1,item_drug_CARVEDILOL,CARVEDILOL,GRK5,0.3941002857391777,0.3941002857391777,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,6,item_drug_FUROSEMIDE,FUROSEMIDE,ADD1,0.1152159212045888,0.1152159212045888,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,SLCO1B1,0.0576840694301267,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,ABCB1,0.0576840694301267,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,CYP3A4,0.0576840694301267,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,CYP3A5,0.0576840694301267,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,CETP,0.0576840694301267,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,HMGCR,0.0576840694301267,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,8,item_drug_SIMVASTATIN,SIMVASTATIN,LPA,0.0576840694301267,0.0576840694301267,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,10,item_drug_IBUPROFEN,IBUPROFEN,CYP2C9,0.0403084051909705,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,10,item_drug_IBUPROFEN,IBUPROFEN,CYP2C8,0.0403084051909705,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,13,item_drug_MELOXICAM,MELOXICAM,CYP2C9,0.0229784095416196,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,14,item_drug_ALLOPURINOL,ALLOPURINOL,HLA-B,0.0210520503320137,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,14,item_drug_ALLOPURINOL,ALLOPURINOL,HLA-A,0.0210520503320137,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,14,item_drug_ALLOPURINOL,ALLOPURINOL,HLA-C,0.0210520503320137,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,16,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,NEDD4L,0.0134934340370799,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,16,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,PRKCA,0.0134934340370799,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,16,item_drug_HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,YEATS4,0.0134934340370799,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,17,item_drug_OMEPRAZOLE,OMEPRAZOLE,CYP2C19,0.0134331774560239,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,18,item_drug_LATANOPROST,LATANOPROST,PTGFR,0.0112290876601472,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,21,item_drug_CLOPIDOGREL,CLOPIDOGREL,CYP2C19,0.0077854785147482,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,21,item_drug_CLOPIDOGREL,CLOPIDOGREL,CES1,0.0077854785147482,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,22,item_drug_OFLOXACIN,OFLOXACIN,G6PD,0.0017422174199157,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,24,item_drug_ATENOLOL,ATENOLOL,ADRA2C,0.0008534541696594,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,24,item_drug_ATENOLOL,ATENOLOL,ADRB1,0.0008534541696594,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,24,item_drug_ATENOLOL,ATENOLOL,GRK4,0.0008534541696594,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,24,item_drug_ATENOLOL,ATENOLOL,GRK5,0.0008534541696594,0.05,SHAP_FFA_CONSENSUS_FILTER
ed,65-74,all,25,item_drug_NAPROXEN,NAPROXEN,CYP2C9,0.0004144450712703,0.05,SHAP_FFA_CONSENSUS_FILTER
